,Date,Product ID,Category,Region,Units Sold,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Sales
60,2022-01-01,P0001,Toys,South,271,15.62,15,Sunny,0,16.09,Winter,3598.0669999999996
61,2022-01-01,P0002,Clothing,North,180,41.13,5,Sunny,0,45.05,Autumn,7033.2300000000005
62,2022-01-01,P0003,Clothing,West,344,89.32,20,Cloudy,0,93.0,Autumn,24580.864
63,2022-01-01,P0004,Groceries,West,0,87.23,10,Sunny,0,90.36,Spring,0.0
64,2022-01-01,P0005,Groceries,North,200,81.72,0,Snowy,1,85.22,Spring,16344.0
65,2022-01-01,P0006,Electronics,East,382,41.35,10,Snowy,0,39.86,Summer,14216.130000000001
66,2022-01-01,P0007,Electronics,West,190,67.26,20,Cloudy,0,64.78,Summer,10223.520000000002
67,2022-01-01,P0008,Furniture,South,51,85.88,20,Snowy,1,86.14,Winter,3503.9040000000005
68,2022-01-01,P0009,Furniture,North,40,59.23,10,Rainy,1,61.1,Summer,2132.2799999999997
69,2022-01-01,P0010,Groceries,East,104,33.48,15,Cloudy,0,37.15,Summer,2959.6319999999996
70,2022-01-01,P0011,Electronics,West,46,54.84,0,Sunny,1,57.76,Spring,2522.6400000000003
71,2022-01-01,P0012,Electronics,North,9,14.25,5,Rainy,1,18.56,Spring,121.83749999999999
72,2022-01-01,P0013,Furniture,East,56,61.81,0,Sunny,0,63.92,Autumn,3461.36
73,2022-01-01,P0014,Electronics,West,63,66.94,10,Snowy,1,68.47,Winter,3795.4980000000005
74,2022-01-01,P0015,Clothing,South,181,60.54,5,Cloudy,0,65.27,Autumn,10409.853
75,2022-01-01,P0016,Groceries,South,94,94.26,15,Rainy,0,96.74,Summer,7531.374
76,2022-01-01,P0017,Electronics,South,46,25.55,0,Rainy,0,28.07,Winter,1175.3
77,2022-01-01,P0018,Groceries,West,8,16.73,5,Cloudy,1,18.79,Spring,127.148
78,2022-01-01,P0019,Groceries,West,172,71.2,15,Rainy,1,73.85,Spring,10409.439999999999
79,2022-01-01,P0020,Clothing,West,68,11.5,20,Snowy,0,9.26,Winter,625.6
160,2022-01-02,P0001,Electronics,North,22,74.16,15,Rainy,0,69.74,Autumn,1386.792
161,2022-01-02,P0002,Electronics,East,45,59.38,0,Sunny,1,62.4,Spring,2672.1
162,2022-01-02,P0003,Clothing,East,89,48.18,0,Sunny,1,49.64,Spring,4288.0199999999995
163,2022-01-02,P0004,Groceries,East,209,94.75,20,Snowy,0,90.1,Autumn,15842.2
164,2022-01-02,P0005,Toys,West,4,60.89,5,Sunny,0,59.42,Autumn,231.382
165,2022-01-02,P0006,Toys,East,47,14.71,5,Cloudy,0,16.85,Autumn,656.8014999999999
166,2022-01-02,P0007,Furniture,West,115,33.09,10,Rainy,0,28.55,Spring,3424.8150000000005
167,2022-01-02,P0008,Toys,South,27,98.75,15,Snowy,0,102.7,Summer,2266.3125
168,2022-01-02,P0009,Furniture,South,90,12.4,20,Snowy,0,8.56,Autumn,892.8000000000001
169,2022-01-02,P0010,Groceries,South,206,92.01,15,Snowy,1,87.81,Autumn,16110.951000000001
170,2022-01-02,P0011,Toys,East,328,92.12,20,Sunny,1,87.37,Spring,24172.288
171,2022-01-02,P0012,Groceries,South,155,37.39,20,Sunny,0,38.71,Spring,4636.36
172,2022-01-02,P0013,Clothing,West,184,85.35,10,Rainy,1,80.79,Spring,14133.96
173,2022-01-02,P0014,Electronics,East,16,82.64,0,Cloudy,0,78.35,Autumn,1322.24
174,2022-01-02,P0015,Toys,North,90,92.19,10,Snowy,1,97.07,Summer,7467.39
175,2022-01-02,P0016,Clothing,West,178,61.41,0,Sunny,0,61.32,Spring,10930.98
176,2022-01-02,P0017,Electronics,South,256,96.47,20,Cloudy,0,93.35,Spring,19757.056
177,2022-01-02,P0018,Furniture,South,27,89.33,0,Sunny,0,89.63,Spring,2411.91
178,2022-01-02,P0019,Groceries,North,67,59.49,20,Rainy,1,57.55,Spring,3188.664
179,2022-01-02,P0020,Electronics,North,84,73.05,15,Sunny,1,74.55,Autumn,5215.7699999999995
260,2022-01-03,P0001,Groceries,East,66,83.63,15,Sunny,0,79.9,Summer,4691.643
261,2022-01-03,P0002,Groceries,West,163,81.57,0,Cloudy,1,77.66,Winter,13295.909999999998
262,2022-01-03,P0003,Clothing,South,98,44.68,10,Snowy,0,42.55,Spring,3940.7760000000003
263,2022-01-03,P0004,Groceries,East,150,60.11,0,Rainy,1,62.3,Summer,9016.5
264,2022-01-03,P0005,Furniture,North,15,24.63,20,Snowy,0,27.97,Winter,295.56
265,2022-01-03,P0006,Electronics,North,36,36.31,5,Cloudy,1,34.82,Autumn,1241.802
266,2022-01-03,P0007,Electronics,East,303,11.36,15,Cloudy,1,15.64,Autumn,2925.768
267,2022-01-03,P0008,Electronics,East,209,63.1,10,Rainy,1,65.17,Winter,11869.11
268,2022-01-03,P0009,Electronics,West,69,30.82,20,Sunny,0,35.26,Winter,1701.2640000000001
269,2022-01-03,P0010,Electronics,West,143,23.73,0,Snowy,0,21.84,Winter,3393.39
270,2022-01-03,P0011,Clothing,West,239,29.49,5,Sunny,0,31.68,Winter,6695.7045
271,2022-01-03,P0012,Groceries,North,192,74.42,15,Cloudy,1,75.61,Autumn,12145.344
272,2022-01-03,P0013,Clothing,South,23,58.3,20,Rainy,1,59.12,Autumn,1072.72
273,2022-01-03,P0014,Groceries,East,165,60.58,0,Sunny,1,58.02,Winter,9995.699999999999
274,2022-01-03,P0015,Groceries,South,85,73.48,0,Rainy,0,77.0,Spring,6245.8
275,2022-01-03,P0016,Groceries,East,79,16.18,10,Cloudy,0,18.35,Spring,1150.3980000000001
276,2022-01-03,P0017,Toys,North,33,38.52,15,Rainy,0,39.57,Spring,1080.486
277,2022-01-03,P0018,Electronics,South,270,46.93,0,Snowy,0,46.83,Winter,12671.1
278,2022-01-03,P0019,Toys,North,1,80.41,0,Snowy,0,76.9,Winter,80.41
279,2022-01-03,P0020,Clothing,East,149,95.33,20,Cloudy,0,97.42,Winter,11363.336000000001
360,2022-01-04,P0001,Furniture,South,145,20.39,15,Sunny,0,21.17,Summer,2513.0675
361,2022-01-04,P0002,Groceries,North,150,70.46,20,Sunny,1,66.42,Summer,8455.199999999999
362,2022-01-04,P0003,Toys,West,40,53.13,5,Snowy,1,48.66,Spring,2018.94
363,2022-01-04,P0004,Toys,West,245,82.0,10,Sunny,1,81.29,Winter,18081.0
364,2022-01-04,P0005,Furniture,North,241,75.55,15,Snowy,0,75.67,Autumn,15476.4175
365,2022-01-04,P0006,Groceries,South,138,50.26,0,Cloudy,1,47.5,Autumn,6935.88
366,2022-01-04,P0007,Clothing,East,152,56.58,5,Cloudy,1,52.57,Autumn,8170.151999999999
367,2022-01-04,P0008,Furniture,West,12,37.17,10,Rainy,1,32.41,Winter,401.43600000000004
368,2022-01-04,P0009,Furniture,South,158,82.75,20,Sunny,1,83.85,Winter,10459.6
369,2022-01-04,P0010,Clothing,North,265,23.53,10,Sunny,1,24.56,Spring,5611.905000000001
370,2022-01-04,P0011,Clothing,East,240,56.3,5,Sunny,0,60.74,Spring,12836.4
371,2022-01-04,P0012,Toys,North,153,94.09,5,Cloudy,0,90.8,Spring,13675.9815
372,2022-01-04,P0013,Groceries,West,68,24.53,20,Snowy,1,23.7,Spring,1334.432
373,2022-01-04,P0014,Furniture,West,302,70.33,20,Snowy,0,72.22,Autumn,16991.728
374,2022-01-04,P0015,Clothing,West,70,79.68,5,Rainy,1,77.12,Spring,5298.72
375,2022-01-04,P0016,Groceries,West,92,25.69,0,Sunny,0,27.17,Autumn,2363.48
376,2022-01-04,P0017,Clothing,East,275,25.04,5,Sunny,1,29.56,Summer,6541.7
377,2022-01-04,P0018,Groceries,East,3,56.02,15,Sunny,0,59.96,Winter,142.851
378,2022-01-04,P0019,Groceries,West,307,31.39,5,Rainy,1,29.82,Winter,9154.893499999998
379,2022-01-04,P0020,Groceries,South,62,86.86,15,Snowy,0,89.19,Spring,4577.522
460,2022-01-05,P0001,Toys,North,198,57.58,10,Cloudy,0,58.98,Summer,10260.756000000001
461,2022-01-05,P0002,Electronics,North,83,54.02,20,Rainy,0,58.22,Winter,3586.928
462,2022-01-05,P0003,Furniture,North,97,69.96,10,Snowy,1,70.94,Autumn,6107.507999999999
463,2022-01-05,P0004,Toys,North,173,51.07,5,Sunny,1,50.35,Spring,8393.3545
464,2022-01-05,P0005,Electronics,East,69,99.12,20,Rainy,1,95.19,Autumn,5471.424000000001
465,2022-01-05,P0006,Furniture,East,256,77.59,15,Sunny,0,79.28,Autumn,16883.584
466,2022-01-05,P0007,Electronics,North,246,87.6,10,Snowy,0,92.28,Summer,19394.64
467,2022-01-05,P0008,Clothing,South,332,43.67,15,Cloudy,1,40.57,Summer,12323.674
468,2022-01-05,P0009,Toys,North,325,89.52,0,Rainy,0,87.3,Summer,29094.0
469,2022-01-05,P0010,Groceries,East,53,12.89,0,Snowy,1,13.92,Autumn,683.1700000000001
470,2022-01-05,P0011,Groceries,West,17,92.7,5,Sunny,0,97.29,Autumn,1497.105
471,2022-01-05,P0012,Toys,West,223,31.47,20,Snowy,0,29.24,Spring,5614.248
472,2022-01-05,P0013,Electronics,West,95,89.52,0,Cloudy,0,91.76,Autumn,8504.4
473,2022-01-05,P0014,Toys,North,225,54.44,20,Sunny,0,57.58,Winter,9799.2
474,2022-01-05,P0015,Groceries,East,216,21.75,15,Sunny,0,21.05,Winter,3993.2999999999997
475,2022-01-05,P0016,Electronics,North,324,60.8,0,Rainy,1,58.01,Spring,19699.2
476,2022-01-05,P0017,Toys,South,75,60.17,5,Sunny,0,55.33,Summer,4287.1125
477,2022-01-05,P0018,Electronics,West,158,19.17,15,Rainy,1,20.52,Winter,2574.531
478,2022-01-05,P0019,Electronics,West,55,45.92,20,Snowy,0,46.95,Winter,2020.48
479,2022-01-05,P0020,Toys,South,131,23.85,5,Cloudy,0,19.43,Autumn,2968.1325
560,2022-01-06,P0001,Groceries,South,101,16.86,20,Cloudy,0,12.11,Autumn,1362.288
561,2022-01-06,P0002,Toys,East,105,20.2,0,Rainy,0,15.44,Autumn,2121.0
562,2022-01-06,P0003,Furniture,South,134,38.42,5,Snowy,0,43.03,Winter,4890.866
563,2022-01-06,P0004,Electronics,North,50,83.19,10,Snowy,1,88.18,Winter,3743.55
564,2022-01-06,P0005,Furniture,East,220,79.42,5,Cloudy,0,77.63,Summer,16598.78
565,2022-01-06,P0006,Clothing,North,260,79.07,10,Snowy,1,81.47,Autumn,18502.379999999997
